Season,ENSO Type,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ
1950-1951,ME,-0.5,-0.4,-0.4,-0.4,-0.6,-0.8,-0.8,-0.5,-0.2,0.2,0.4,0.6
1951-1952,ME,0.7,0.9,1,1.2,1,0.8,0.5,0.4,0.3,0.3,0.2,0
1952-1953,WE,-0.1,0,0.2,0.1,0,0.1,0.4,0.6,0.6,0.7,0.8,0.8
1953-1954,WE,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.5,0,-0.4,-0.5,-0.5
1954-1955,WL,-0.6,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.7,-0.8,-0.8,-0.7
1955-1956,ML,-0.7,-0.7,-1.1,-1.4,-1.7,-1.5,-1.1,-0.8,-0.6,-0.5,-0.5,-0.5
1956-1957,,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.2,0.1,0.4,0.7,0.9,1.1
1957-1958,SE,1.3,1.3,1.3,1.4,1.5,1.7,1.8,1.7,1.3,0.9,0.7,0.6
1958-1959,WE,0.6,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.3,0.2,-0.1
1959-1960,,-0.2,-0.3,-0.1,0,0,0,-0.1,-0.1,-0.1,0,0,0
1960-1961,,0.1,0.2,0.3,0.2,0.1,0.1,0,0,0,0.1,0.2,0.3
1961-1962,,0.1,-0.1,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2
1962-1963,,0,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.2,0.2,0.3,0.3,0.5
1963-1964,ME,0.9,1.1,1.2,1.3,1.4,1.3,1.1,0.6,0.1,-0.3,-0.6,-0.6
1964-1965,WL,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8,-0.6,-0.3,-0.1,0.2,0.5,0.8
1965-1966,SE,1.2,1.5,1.9,2,2,1.7,1.4,1.2,1,0.7,0.4,0.2
1966-1967,,0.2,0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.5,-0.5,-0.4,-0.2,0
1967-1968,,0,-0.2,-0.3,-0.4,-0.3,-0.4,-0.6,-0.7,-0.6,-0.4,0,0.3
1968-1969,ME,0.6,0.5,0.4,0.5,0.7,1,1.1,1.1,0.9,0.8,0.6,0.4
1969-1970,WE,0.4,0.5,0.8,0.9,0.8,0.6,0.5,0.3,0.3,0.2,0,-0.3
1970-1971,ML,-0.6,-0.8,-0.8,-0.7,-0.9,-1.1,-1.4,-1.4,-1.1,-0.8,-0.7,-0.7
1971-1972,WL,-0.8,-0.8,-0.8,-0.9,-1,-0.9,-0.7,-0.4,0.1,0.4,0.7,0.9
1972-1973,SE,1.1,1.4,1.6,,2.1,2.1,1.8,1.2,0.5,-0.1,-0.5,-0.9
1973-1974,SL,-1.1,-1.3,-1.5,-1.7,-1.9,-2,-1.8,-1.6,-1.2,-1,-0.9,-0.8
1974-1975,WL,-0.5,-0.4,-0.4,-0.6,-0.8,-0.6,-0.5,-0.6,-0.7,-0.7,-0.8,-1
1975-1976,SL,-1.1,-1.2,-1.4,-1.4,-1.6,-1.7,-1.6,-1.2,-0.7,-0.5,-0.3,0
1976-1977,WE,0.2,0.4,0.6,0.8,0.9,0.8,0.7,0.6,0.3,0.2,0.2,0.3
1977-1978,WE,0.4,0.4,0.6,0.7,0.8,0.8,0.7,0.4,0.1,-0.2,-0.3,-0.3
